time,reference_north,reference_east,nav_north,nav_east,position_error,gps_speed,ai_speed,heading_deg
1200.02,0.0,0.0,0.0,0.0,0.0,11.32,13.087065696716309,-17.73980451774418
1200.121,0.0,0.0,0.3583352061961784,-0.10754271788386195,0.3741250541857704,11.32,13.335150446210589,-16.705427988573323
1200.22,0.0,0.0,0.7153652470436898,-0.20629672995461135,0.7445171438374304,11.32,13.470398766653878,-15.46137010121861
1200.32,0.0,0.0,1.074002108299105,-0.2970078253562537,1.1143133208185987,11.32,13.317513874598912,-14.19429703094874
1200.419,0.0,0.0,1.4262534702190597,-0.3794940164930284,1.47587759311737,11.32,13.155647686549596,-13.179397494693518
1200.52,0.0,0.0,1.7863074721517602,-0.45744835221818897,1.8439504819849009,11.32,13.130953788757324,-12.216403200512103
1200.62,0.0,0.0,2.1434651232884843,-0.5275272128273313,2.207425580858274,11.32,13.102844510759626,-11.10113003224182
1200.72,0.0,0.0,2.508339365097972,-0.5913399736151044,2.5771009555109035,11.32,13.334843226841517,-9.920115606219507
1200.82,0.0,0.0,2.8728243139728336,-0.6472873312699206,2.9448430226713302,11.32,13.275137765066964,-8.726620499920756
1200.92,0.0,0.0,3.2375133030984244,-0.6950827268544282,3.3112886290552592,11.32,13.241074970790319,-7.466513390734043
1201.02,11.799866024352157,0.6072751227462748,3.5986682146851403,-0.7352898889136229,8.31036258678407,11.73,13.081901005336217,-6.3525463401673905
1201.12,11.799866024352157,0.6072751227462748,3.9553952870966578,-0.7678774402839601,7.964092272146679,11.73,12.895647866385323,-5.219568020803465
1201.22,11.799866024352157,0.6072751227462748,4.3099233778611445,-0.7929587328139671,7.619704436392655,11.73,12.794910430908203,-4.0466805493815325
1201.32,11.799866024352157,0.6072751227462748,4.659006384560333,-0.8108086569098172,7.280304801402997,11.73,12.583406720842634,-2.927198779621777
1201.419,11.799866024352157,0.6072751227462748,4.9956271196390025,-0.8218864565955847,6.952709536021119,11.73,12.247380529131208,-1.8848577104132318
1201.519,11.799866024352157,0.6072751227462748,5.328202988990427,-0.826738013138867,6.628636067635524,11.73,11.974005154200963,-0.8357611724601692
1201.619,11.799866024352157,0.6072751227462748,5.648324374100054,-0.8256368807670743,6.316225256005284,11.73,11.524438040597099,0.1970814562921727
1201.719,11.799866024352157,0.6072751227462748,5.9604552926385095,-0.8182790521764318,6.0109002985652715,11.73,11.239834649222237,1.3503771621596206
1201.819,11.799866024352157,0.6072751227462748,6.258156666460095,-0.8048804663519887,5.718804596694131,11.73,10.728098460606166,2.576960583616982
1201.919,11.799866024352157,0.6072751227462748,6.544086572667733,-0.786217488537679,5.437374302220807,11.73,10.315380096435547,3.734464890973912
1202.02,24.156329502056384,1.5519253137049014,6.8279290179687315,-0.7620824230187669,17.48222225984289,11.93,10.153664452689034,4.860157913770719
1202.12,24.156329502056384,1.5519253137049014,7.106130296376248,-0.7330519417891762,17.202628113503494,11.93,10.069626671927315,5.957290558379483
1202.219,24.156329502056384,1.5519253137049014,7.389806138498923,-0.6971464128994461,16.916696761842402,11.93,10.397786821637835,7.213704319213418
1202.319,24.156329502056384,1.5519253137049014,7.69212346913989,-0.6523517936498806,16.61110826707033,11.93,11.002245903015137,8.42824243295953
1202.42,24.156329502056384,1.5519253137049014,8.012934837673985,-0.5983271851062264,16.285968718459873,11.93,11.5958651133946,9.558919020419173
1202.519,24.156329502056384,1.5519253137049014,8.331597652454185,-0.5382916923238625,15.962178587025834,11.93,11.791592461722237,10.669361066692575
1202.62,24.156329502056384,1.5519253137049014,8.660294255416854,-0.46978813714141837,15.627361698073912,11.93,11.967652184622628,11.772481473086886
1202.72,24.156329502056384,1.5519253137049014,8.983123753752555,-0.39554592776654396,15.297673578577845,11.93,11.925229753766741,12.951319036269812
1202.819,24.156329502056384,1.5519253137049014,9.29853948201093,-0.31601381099620746,14.97474944208922,11.93,11.828663281032018,14.152131366457349
1202.919,24.156329502056384,1.5519253137049014,9.60622233697185,-0.2324161699269943,14.659109558416363,11.93,11.478147370474678,15.20035715927704
