time,reference_north,reference_east,nav_north,nav_east,position_error,gps_speed,ai_speed,heading_deg
1200.02,0.0,0.0,0.0,0.0,0.0,11.32,13.087065696716309,-3.051514163122865
1200.121,0.0,0.0,0.3736196716983625,-0.019439575342929727,0.3741250541857704,11.32,13.335150446210589,-2.97843569992708
1200.22,0.0,0.0,0.743529591245808,-0.039174224770974625,0.7445608591274222,11.32,13.470398766653878,-3.0538278187548435
1200.32,0.0,0.0,1.1129063268529762,-0.05941597055274678,1.1144912516059102,11.32,13.317513874598912,-3.136656016582996
1200.419,0.0,0.0,1.474168893090698,-0.07876414716066325,1.4762715591090279,11.32,13.155647686549596,-3.065667076378766
1200.52,0.0,0.0,1.8420779027066807,-0.09770414213138333,1.8446672054953093,11.32,13.130953788757324,-2.9469912910553133
1200.62,0.0,0.0,2.2055690744986673,-0.11632677618421548,2.208634614698031,11.32,13.102844510759626,-2.932853219451048
1200.72,0.0,0.0,2.575486956141387,-0.13545899028423258,2.579046761751956,11.32,13.334843226841517,-2.960709144073314
1200.82,0.0,0.0,2.9437365842756016,-0.1547358199996927,2.9478005786676893,11.32,13.275137765066964,-2.996537438840056
1200.92,0.0,0.0,3.311014671418426,-0.1744656282408461,3.3156080000183286,11.32,13.241074970790319,-3.0749159417039933
1201.02,11.799866024352157,0.6072751227462748,3.67388270674813,-0.1938634368805699,8.165379836217047,11.73,13.081901005336217,-3.059943552293904
1201.12,11.799866024352157,0.6072751227462748,4.03158536376988,-0.21296741173364822,7.811464794578971,11.73,12.895647866385323,-3.0571151220574735
1201.22,11.799866024352157,0.6072751227462748,4.386486215258985,-0.2320625416990585,7.460743120415477,11.73,12.794910430908203,-3.079779735887935
1201.32,11.799866024352157,0.6072751227462748,4.735524194974247,-0.2507722737297871,7.116261013825855,11.73,12.583406720842634,-3.068330021657991
1201.419,11.799866024352157,0.6072751227462748,5.071860996691877,-0.2684864697639824,6.784763077598076,11.73,12.247380529131208,-3.0148700985541645
1201.519,11.799866024352157,0.6072751227462748,5.404028952163115,-0.28565317689745484,6.4578675119804325,11.73,11.974005154200963,-2.958459924788157
1201.619,11.799866024352157,0.6072751227462748,5.723744619588437,-0.30180265675864315,6.1437507871509105,11.73,11.524438040597099,-2.8916671294385634
1201.719,11.799866024352157,0.6072751227462748,6.035561908386974,-0.31760855298630475,5.8380314965722615,11.73,11.239834649222237,-2.9018169761816384
1201.819,11.799866024352157,0.6072751227462748,6.3331673839766145,-0.3329907172169339,5.546971594887207,11.73,10.728098460606166,-2.9587813220292514
1201.919,11.799866024352157,0.6072751227462748,6.619320422191307,-0.34784523590004623,5.267856075821435,11.73,10.315380096435547,-2.9716195261466534
1202.02,24.156329502056384,1.5519253137049014,6.903807861067099,-0.3625398697486574,17.35841812814346,11.93,10.153664452689034,-2.956871928835303
1202.12,24.156329502056384,1.5519253137049014,7.183153768060326,-0.3768431698618866,17.082413247557064,11.93,10.069626671927315,-2.9311461099279286
1202.219,24.156329502056384,1.5519253137049014,7.468697257795079,-0.3918799873097106,16.80045978442144,11.93,10.397786821637835,-3.014430875198979
1202.319,24.156329502056384,1.5519253137049014,7.77387838926642,-0.4082141023290719,16.499298500034573,11.93,11.002245903015137,-3.0637009568373275
1202.42,24.156329502056384,1.5519253137049014,8.098745348066002,-0.4255360995962553,16.1788863183959,11.93,11.5958651133946,-3.0521367454650608
1202.519,24.156329502056384,1.5519253137049014,8.422557160810609,-0.4427453948843633,15.859706911600055,11.93,11.791592461722237,-3.0421781527570233
1202.62,24.156329502056384,1.5519253137049014,8.757852146071887,-0.46039381494033244,15.529408654494182,11.93,11.967652184622628,-3.0130116897214716
1202.72,24.156329502056384,1.5519253137049014,9.088642529223474,-0.4779583548708128,15.20380276178394,11.93,11.925229753766741,-3.0394770846673613
1202.819,24.156329502056384,1.5519253137049014,9.413458673582769,-0.49547724736703314,14.884357477302883,11.93,11.828663281032018,-3.0872449409442906
1202.919,24.156329502056384,1.5519253137049014,9.731850282227471,-0.5123321687218771,14.571436432865191,11.93,11.478147370474678,-3.0302785553076044
1203.021,36.51279298055158,0.877175177310163,10.042700711437433,-0.5291925055083819,26.507426408361354,11.8,10.98731790270124,-3.1046458231669964
1203.119,36.51279298055158,0.877175177310163,10.332526524011902,-0.5447066915928331,26.218850085092054,11.8,10.661905016217913,-3.064081218971023
1203.22,36.51279298055158,0.877175177310163,10.63646228361238,-0.5610282198324666,25.91626746560759,11.8,10.848962920052665,-3.0738644191904796
1203.32,36.51279298055158,0.877175177310163,10.936926373594137,-0.5771981712866078,25.61718475035829,11.8,10.832359722682408,-3.080491590753386
1203.42,36.51279298055158,0.877175177310163,11.234129764673883,-0.5931253640914776,25.321386171847195,11.8,10.714674813406807,-3.0675586448686145
1203.52,36.51279298055158,0.877175177310163,11.532507279118338,-0.6092067364377757,25.02446812459252,11.8,10.757180213928223,-3.0850319479072312
1203.62,36.51279298055158,0.877175177310163,11.833310593963109,-0.6252014044152971,24.725169084624024,11.8,10.844217300415039,-3.043732196624478
1203.72,36.51279298055158,0.877175177310163,12.136035957234299,-0.641253325722656,24.42400270415705,11.8,10.913422993251256,-3.0352489457041107
1203.82,36.51279298055158,0.877175177310163,12.438938749114419,-0.6576038891728153,24.122727962222665,11.8,10.92037568773542,-3.089803040112677
1203.92,36.51279298055158,0.877175177310163,12.740244456482541,-0.6741080626278042,23.823109432224197,11.8,10.863265718732562,-3.135272340635709
1204.02,47.533422568945284,-1.416975286422957,13.038278639629512,-0.6903887775023811,34.50279528761628,10.88,10.745227268763951,-3.1267890897153614
1204.12,47.533422568945284,-1.416975286422957,13.333452648869496,-0.7063980465131393,34.20735100161903,10.88,10.641882078988212,-3.1044932440097073
1204.22,47.533422568945284,-1.416975286422957,13.623730202438864,-0.7220548376509844,33.916812214906415,10.88,10.465181623186384,-3.087388709095807
1204.32,47.533422568945284,-1.416975286422957,13.91168016898897,-0.7376134138550394,33.62860530207756,10.88,10.381319727216448,-3.0928107549391903
1204.42,47.533422568945284,-1.416975286422957,14.200218281638143,-0.7530429403001987,33.33981574963454,10.88,10.402213096618652,-3.0609666054557017
1204.52,47.533422568945284,-1.416975286422957,14.489019468270113,-0.7684108510284902,33.050767193921075,10.88,10.411552156720843,-3.045994216045613
