time,gps_x,gps_y,navigation_x,navigation_y,position_error,ai_speed
659.019,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.12,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.22,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.32,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.42,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.52,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.62,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.719,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.82,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
659.919,-1646.0964515518535,6538.928856259591,-1646.0964515518535,6538.928856259591,0.0,26.0
660.02,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.12,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.22,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.32,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.42,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.52,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.62,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.721,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.82,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
660.92,-1662.1166905062664,6558.83274812928,-1662.1166905062664,6558.83274812928,0.0,25.82
661.02,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.12,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
