time,reference_north,reference_east,nav_north,nav_east,position_error,gps_speed,ai_speed
1200.02,0.0,0.0,0.0,0.0,0.0,11.32,58.11216201782227
1200.121,0.0,0.0,1.6303685042854934,0.001390175447517027,1.6303690969697295,11.32,58.11216583251954
1200.22,0.0,0.0,3.2284510597825995,0.0036111438515311267,3.2284530793820294,11.32,58.11214904785157
1200.32,0.0,0.0,4.842674217697143,0.006708405040429173,4.842678864166694,11.32,58.11214065551758
1200.419,0.0,0.0,6.440751923934814,0.011108267579463874,6.440761503058363,11.32,58.11213684082031
1200.52,0.0,0.0,8.071108521435356,0.01713821280872949,8.071126717077654,11.32,58.112117767333984
1200.62,0.0,0.0,9.685317897012627,0.024280305066550815,9.685348331340862,11.32,58.11210632324219
1200.72,0.0,0.0,11.299522429389869,0.0324565271373192,11.29956904304047,11.32,58.11210861206055
1200.82,0.0,0.0,12.913721499057916,0.04164073020424458,12.913788634852382,11.32,58.11210708618164
1200.92,0.0,0.0,14.527915266868298,0.051693369581820144,14.52800723450273,11.32,58.11210250854492
1201.02,11.799866024352157,0.6072751227462748,16.142101377266023,0.06292058039591238,4.37622322646737,11.73,58.11210556030274
1201.12,11.799866024352157,0.6072751227462748,17.75627877244877,0.07528252802567145,5.980122820354562,11.73,58.112090301513675
1201.22,11.799866024352157,0.6072751227462748,19.370447330392192,0.08869560418430147,7.5883216872003265,11.73,58.11207427978516
1201.32,11.799866024352157,0.6072751227462748,20.984604978802125,0.10327167236883734,9.198556905264164,11.73,58.11204452514649
1201.419,11.799866024352157,0.6072751227462748,22.582608131668874,0.1189785787131018,10.793792700798718,11.73,58.112012481689455
1201.519,11.799866024352157,0.6072751227462748,24.19673847064349,0.13615455241414248,12.405821256225131,11.73,58.11198196411133
1201.619,11.799866024352157,0.6072751227462748,25.81085373134839,0.1546749798960561,14.01829602394341,11.73,58.111974334716805
1201.719,11.799866024352157,0.6072751227462748,27.424955943052815,0.17428753505707295,15.631088036940161,11.73,58.11196899414063
1201.819,11.799866024352157,0.6072751227462748,29.039046434668357,0.1948386949821797,17.244113344164052,11.73,58.111967468261724
1201.919,11.799866024352157,0.6072751227462748,30.653123024080454,0.21647315492724997,18.857306957141446,11.73,58.11197662353516
1202.02,24.156329502056384,1.5519253137049014,32.28332415468265,0.23952081227681138,8.232280829708415,11.93,58.1119857788086
1202.12,24.156329502056384,1.5519253137049014,33.897367356583196,0.263550010844218,9.82587041459156,11.93,58.111994171142584
1202.219,24.156329502056384,1.5519253137049014,35.49525747215707,0.28817151606779073,11.409134987902192,11.93,58.11199264526367
1202.319,24.156329502056384,1.5519253137049014,37.10927224468523,0.3140055079282152,13.01196261673678,11.93,58.111974334716805
1202.42,24.156329502056384,1.5519253137049014,38.7394074462634,0.34128409408415566,14.633243471269859,11.93,58.11196365356446
1202.519,24.156329502056384,1.5519253137049014,40.33724309031686,0.36915776705586245,16.22408406105438,11.93,58.11195449829101
1202.62,24.156329502056384,1.5519253137049014,41.96733505098066,0.39883905004392484,17.84829197977372,11.93,58.111918640136714
1202.72,24.156329502056384,1.5519253137049014,43.58126707792151,0.42926495670552567,19.457352494710964,11.93,58.1118766784668
1202.819,24.156329502056384,1.5519253137049014,45.17904157186397,0.4603344347973769,21.051033072439644,11.93,58.11187438964844
1202.919,24.156329502056384,1.5519253137049014,46.7929288584729,0.49302979183940965,22.661352345990814,11.93,58.1118637084961
1203.021,36.51279298055158,0.877175177310163,48.43907471616372,0.5273010523460374,11.931412654858393,11.8,58.11185531616212
1203.119,36.51279298055158,0.877175177310163,50.02063976367421,0.5614393517480101,13.511536323744233,11.8,58.11184082031251
1203.22,36.51279298055158,0.877175177310163,51.65059599418354,0.5977381486549301,15.140381934829401,11.8,58.11185455322266
1203.32,36.51279298055158,0.877175177310163,53.26438928328065,0.6347810298175827,16.7533499221005,11.8,58.11186141967774
1203.42,36.51279298055158,0.877175177310163,54.87815498892785,0.6729914882982084,18.366497017057142,11.8,58.11184844970704
